# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
475136 232 207.344193134184 175.761640969362 4030.82476305962 4028.08483505249 3956.72934913635 0 74.1759648323059 2784 118237.795752331 118237.795752331 476271872 476271872 85178.8375990172 85178.8375990172 343107584 343107584 1040.5772222266 2091534.18267556 19459.0585794314 2072075.12409612 77184 155305122 1442034 153863088 0 0 0 0 4024.6500313282 1731253163.90158 593258
475648 232.25 207.46088805653 175.87080432505 4032.89716792107 4030.15723991394 3958.70762372017 0 74.1927852630615 2787 118304.340902138 118304.340902138 476785096 476785096 85226.7769104053 85226.7769104053 343477312 343477312 1040.65877249407 2093373.39476634 19454.6282167689 2073918.76654958 77210 155306636 1443548 153863088 0 0 0 0 4026.73961639404 1731253165.97399 593897
476160 232.5 207.560689749435 175.997068391606 4035.29542303085 4032.55549502373 3961.05461883545 0 74.2842814922333 2790 118361.252706627 118361.252706627 477298320 477298320 85267.7763329769 85267.7763329769 343847040 343847040 1040.77536386363 2092065.67309268 19462.4777527592 2072603.19533992 77308 155325781 1445125 153880656 0 0 0 0 4029.13079690933 1731253168.37224 594536
476672 232.75 207.679520212236 176.1037485344 4037.32166790962 4034.5817399025 3963.01112556458 0 74.3138587474823 2793 118429.015646005 118429.015646005 477811544 477811544 85316.5929433663 85316.5929433663 344216768 344216768 1040.63296484815 2090243.43112405 19465.165430816 2070778.26569323 77334 155327344 1446688 153880656 0 0 0 0 4031.15223550797 1731253170.39849 595175
477184 233 207.78591114681 176.223006551756 4039.58725500107 4036.84732699394 3965.19740128517 0 74.4704475402832 2796 118489.684958234 118489.684958234 478324768 478324768 85360.2992849863 85360.2992849863 344586496 344586496 1040.92152534308 2092217.42247815 19465.7191494189 2072751.70332873 77516 155971779 1448259 154523520 0 0 0 0 4033.41194796562 1731253172.66407 595814
477696 233.25 207.904385435698 176.329799229943 4041.61577105522 4038.8758430481 3967.13179945946 0 74.487518787384 2799 118557.244789834 118557.244789834 478837992 478837992 85408.9695759663 85408.9695759663 344956224 344956224 1041.00249139252 2094048.90284972 19461.3548249948 2074587.54802473 77542 155973300 1449780 154523520 0 0 0 0 4035.43563771248 1731253174.69259 596453
478208 233.5 207.976758668982 176.48350607938 4044.53770089149 4041.79777288437 3969.99192547798 0 74.5761833190918 2802 118598.515545699 118598.515545699 479351216 479351216 85438.701143517 85438.701143517 345325952 345325952 1040.97112907532 2092449.92267831 19466.4552343894 2072983.46744392 77640 155992446 1451358 154541088 0 0 0 0 4038.34967947006 1731253177.61452 597092
478720 233.75 208.079817445677 176.605456743658 4046.86112308502 4044.1211950779 3972.27116966248 0 74.5932984352112 2805 118657.2846986 118657.2846986 479864440 479864440 85481.0386050612 85481.0386050612 345695680 345695680 1041.18579562653 2091351.19198033 19475.8132073172 2071875.37877302 77666 155994009 1452921 154541088 0 0 0 0 4040.67039728165 1731253179.93794 597731
479232 234 208.200104201719 176.709749720774 4048.84741306305 4046.10748505592 3974.16989254951 0 74.7691948413849 2808 118725.878087581 118725.878087581 480377664 480377664 85530.4534736592 85530.4534736592 346065408 346065408 1041.35755265074 2093085.1737595 19474.1736201114 2073611.00013939 77848 156638444 1454492 155183952 0 0 0 0 4042.64498329163 1731253181.92423 598370
479744 234.25 208.323223854704 176.811086329873 4050.77636098862 4048.03643298149 3975.99369835854 0 74.7859923839569 2811 118796.086932896 118796.086932896 480890888 480890888 85581.0321215022 85581.0321215022 346435136 346435136 1041.28413272994 2094599.74399189 19466.9987507828 2075132.74524111 77874 156639966 1456014 155183952 0 0 0 0 4044.56907534599 1731253183.85318 599009
480256 234.5 208.446326383593 176.91239704777 4052.70336294174 4049.96343493462 3977.87742137909 0 74.8710992336273 2814 118866.286013215 118866.286013215 481404112 481404112 85631.6037346147 85631.6037346147 346804864 346804864 1041.51044908331 2093524.92903594 19476.9617269663 2074047.96730898 77972 156659118 1457598 155201520 0 0 0 0 4046.49089336395 1731253185.78018 599648
480768 234.75 208.571316099033 177.011734423697 4054.59142804146 4051.85150003433 3979.69956588745 0 74.8953471183777 2817 118937.561259567 118937.561259567 481917336 481917336 85682.9506207368 85682.9506207368 347174592 347174592 1041.42156112521 2091822.18860902 19480.6078796632 2072341.58072936 77998 156660677 1459157 155201520 0 0 0 0 4048.37408852577 1731253187.66825 600287
481280 235 208.694116008181 177.113272927038 4056.51976704597 4053.77983903885 3981.55236554146 0 75.0394823551178 2820 119007.587771314 119007.587771314 482430560 482430560 85733.3979149698 85733.3979149698 347544320 347544320 1041.75946388238 2093884.55314865 19482.1211711867 2074402.43197746 78180 157305117 1460733 155844384 0 0 0 0 4050.2968685627 1731253189.59659 600926
481792 235.25 208.818065785541 177.213576777537 4058.42350506783 4055.6835770607 3983.37015104294 0 75.0567088127136 2823 119078.269994132 119078.269994132 482943784 482943784 85784.3175852851 85784.3175852851 347914048 347914048 1041.95210215481 2095927.8774915 19479.9155746618 2076447.96191684 78206 157306638 1462254 155844384 0 0 0 0 4052.19565439224 1731253191.50032 601565
482304 235.5 208.942033970751 177.313823898559 4060.32462692261 4057.58469891548 3985.22644066811 0 75.1412746906281 2826 119148.962714006 119148.962714006 483457008 483457008 85835.2448177089 85835.2448177089 348283776 348283776 1042.15566185274 2094812.81567663 19489.4054436937 2075323.41023294 78304 157325786 1463834 155861952 0 0 0 0 4054.09171772003 1731253193.40144 602204
482816 235.75 209.066884735905 177.413123273342 4062.20635700226 4059.46642899513 3987.04248118401 0 75.167181968689 2829 119220.158724111 119220.158724111 483970232 483970232 85886.5346218184 85886.5346218184 348653504 348653504 1042.0697329312 2093121.58649747 19493.1273041697 2073628.45919331 78330 157327352 1465400 155861952 0 0 0 0 4055.96860361099 1731253195.28317 602843
483328 236 209.188262633147 177.51593930566 4064.15326595306 4061.41333794594 3988.89764261246 0 75.3352134227753 2832 119289.374335149 119289.374335149 484483456 484483456 85936.3977409201 85936.3977409201 349023232 349023232 1042.1812552801 2094723.92895509 19490.4106150505 2075233.51834004 78512 157971788 1466972 156504816 0 0 0 0 4057.91032361984 1731253197.23008 603482
483840 236.25 209.306991220584 177.621391459497 4066.14934897423 4063.4094209671 3990.80052137375 0 75.352433681488 2835 119357.079180215 119357.079180215 484996680 484996680 85985.1725000046 85985.1725000046 349392960 349392960 1042.27235513749 2096556.62909074 19486.2753244838 2077070.35376626 78538 157973305 1468489 156504816 0 0 0 0 4059.90121173859 1731253199.22617 604121
484352 236.5 209.417121402908 177.735552619296 4068.31008911133 4065.5701611042 3992.90829610825 0 75.4597067832947 2838 119419.880794318 119419.880794318 485509904 485509904 86030.4149578383 86030.4149578383 349762688 349762688 1042.362480648 2095219.56584695 19493.6478491952 2075725.91799776 78636 157992455 1470071 156522384 0 0 0 0 4062.05684661865 1731253201.38691 604760
484864 236.75 209.529174194875 177.847615031649 4070.43123292923 4067.6913049221 3994.95722055435 0 75.4774203300476 2841 119483.778774434 119483.778774434 486023128 486023128 86076.4472408029 86076.4472408029 350132416 350132416 1042.18654242612 2093353.61972341 19495.624436813 2073857.99528659 78662 157994018 1471634 156522384 0 0 0 0 4064.17324614525 1731253203.50805 605399
485376 237 209.643770138764 177.956960312266 4072.5007390976 4069.76081109047 3996.93591380119 0 75.6437928676605 2844 119549.126984108 119549.126984108 486536352 486536352 86123.5242731833 86123.5242731833 350502144 350502144 1042.31035658532 2094974.96194883 19493.1040232305 2075481.8579256 78844 158638449 1473201 157165248 0 0 0 0 4066.23760676384 1731253205.57756 606038
485888 237.25 209.764786998197 178.059641126851 4074.44334506989 4071.70341706276 3998.78628182411 0 75.66033411026 2847 119618.136713736 119618.136713736 487049576 487049576 86173.2390747437 86173.2390747437 350871872 350871872 1042.41423889006 2096826.65694617 19489.2444504496 2077337.41249572 78870 158639967 1474719 157165248 0 0 0 0 4068.17523169518 1731253207.52016 606677
