# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
201216 196.5 283.612516159562 285.463541776972 2502.07275891304 2494.24817204475 2446.3779399395 0 55.7019858360291 1179 37709.1201485753 37709.1201485753 94055904 94055904 18514.2250548962 18514.2250548962 46179072 46179072 587.451411154478 790757.018546419 10819.7676391816 779937.250907237 32722 44041284 602820 43438464 0 0 0 0 2497.36633038521 1735407160.63172 251393
201728 197 283.905131769226 285.453244474942 2505.84213089943 2498.01754403114 2450.02371072769 0 55.8987350463867 1182 37748.0263200363 37748.0263200363 94295232 94295232 18533.3270018951 18533.3270018951 46296576 46296576 587.261335937941 789126.615631135 10823.5417294361 778303.073901698 32820 44056648 604360 43452288 0 0 0 0 2501.12743401527 1735407164.40109 252032
202240 197.5 284.159709662263 285.443800358158 2509.93862986565 2502.11404299736 2454.01725149155 0 55.9232592582703 1185 37781.8749966944 37781.8749966944 94534560 94534560 18549.9458467525 18549.9458467525 46414080 46414080 587.288814311683 787855.043651886 10830.4197358717 777024.623916015 32846 44058155 605867 43452288 0 0 0 0 2505.20152020454 1735407168.49759 252671
202752 198 283.849852982647 285.421380924033 2519.01137280464 2511.18678593636 2462.92378044128 0 56.2006740570068 1188 37740.6764525727 37740.6764525727 94773888 94773888 18529.7184027072 18529.7184027072 46531584 46531584 587.402643111561 787581.337309442 10826.0129275346 776755.324381908 33028 44484789 607413 43877376 0 0 0 0 2514.27839589119 1735407177.57033 253310
203264 198.5 284.115315371783 285.412072269009 2523.00050783157 2515.17592096329 2466.78444314003 0 56.223153591156 1191 37775.9723318323 37775.9723318323 95013216 95013216 18547.04778747 18547.04778747 46649088 46649088 587.910238494009 791341.127204372 10828.0080318672 780513.119172505 33054 44486301 608925 43877376 0 0 0 0 2518.25574421883 1735407181.55946 253949
203776 199 284.382018436233 285.4047266036 2526.97120499611 2519.14661812782 2470.64111828804 0 56.4199254512787 1194 37811.4331712815 37811.4331712815 95252544 95252544 18564.4581635173 18564.4581635173 46766592 46766592 587.820859776113 789858.769978189 10833.517852771 779025.252125418 33152 44501661 610461 43891200 0 0 0 0 2522.21042394638 1735407185.53016 254588
204288 199.5 284.495811994203 285.395586568661 2532.29057097435 2524.46598410606 2475.85240364075 0 56.4400293827057 1197 37826.5631627493 37826.5631627493 95491872 95491872 18571.8866069816 18571.8866069816 46884096 46884096 587.793714206032 788525.83459958 10839.349130243 777686.485469337 33178 44503170 611970 43891200 0 0 0 0 2527.49874401093 1735407190.84953 255227
204800 200 284.78411817008 285.391242674327 2536.05546092987 2528.23087406158 2479.41674733162 0 56.7617409229279 1200 37864.8963518939 37864.8963518939 95731200 95731200 18590.7072341429 18590.7072341429 47001600 47001600 587.548655077989 787774.812763006 10828.3532770585 776946.459485948 33360 44929798 613510 44316288 0 0 0 0 2531.26977086067 1735407194.61442 255866
205312 200.5 284.814529305447 285.384182962314 2542.10541081429 2534.280823946 2485.32781648636 0 56.7794435024261 1203 37868.9398164522 37868.9398164522 95970528 95970528 18592.6924730596 18592.6924730596 47119104 47119104 587.943191238392 791352.496206416 10828.2678630081 780524.228343408 33386 44931307 615019 44316288 0 0 0 0 2537.29455256462 1735407200.66437 256505
205824 201 284.034645381669 285.358895878624 2555.40112996101 2547.57654309273 2498.50017166138 0 56.9891555309296 1206 37765.2464499467 37765.2464499467 96209856 96209856 18541.7816505153 18541.7816505153 47236608 47236608 587.758115142561 789755.134937452 10832.0144057035 778923.120531748 33484 44946672 616560 44330112 0 0 0 0 2550.59289288521 1735407213.96009 257144
206336 201.5 284.3055955508 285.351509834258 2559.30444288254 2551.47985601425 2502.30285143852 0 57.0034675598145 1209 37801.2719844343 37801.2719844343 96449184 96449184 18559.4692775562 18559.4692775562 47354112 47354112 587.808149758558 788538.73832884 10839.1885971609 777699.549731679 33510 44948180 618068 44330112 0 0 0 0 2554.49132943153 1735407217.8634 257783
206848 202 284.599189483075 285.346411806346 2562.99700784683 2555.17242097855 2505.82001852989 0 57.3094663619995 1212 37840.3082336696 37840.3082336696 96688512 96688512 18578.6350894551 18578.6350894551 47471616 47471616 587.823885124397 788141.532780017 10833.0292902723 777308.503489745 33692 45374809 619609 44755200 0 0 0 0 2558.17867493629 1735407221.55596 258422
207360 202.5 284.182316048444 285.329195117478 2573.07920980453 2565.25462293625 2515.75785398483 0 57.32319688797 1215 37784.8807418011 37784.8807418011 96927840 96927840 18551.4215916424 18551.4215916424 47589120 47589120 588.157755829146 791609.084452319 10832.0187323027 780777.065720016 33718 45376323 621123 44755200 0 0 0 0 2568.25055956841 1735407231.63817 259061
207872 203 284.180832132683 285.317540908364 2579.4265999794 2571.60201311111 2522.00012278557 0 57.5039443969727 1218 37784.6834403616 37784.6834403616 97167168 97167168 18551.3247216216 18551.3247216216 47706624 47706624 588.160751807836 790277.241747194 10839.146512488 779438.095234706 33816 45391686 622662 44769024 0 0 0 0 2574.58102345467 1735407237.98556 259700
208384 203.5 284.460671060193 285.311580071438 2583.22454380989 2575.3999569416 2525.70474076271 0 57.5217022895813 1221 37821.8908241632 37821.8908241632 97406496 97406496 18569.5926068094 18569.5926068094 47824128 47824128 588.284350908584 789171.304407401 10847.6379776232 778323.666429778 33842 45393194 624170 44769024 0 0 0 0 2578.37607502937 1735407241.7835 260339
208896 204 284.749499702971 285.307627432625 2586.93359589577 2579.10900902748 2529.21168637276 0 57.8452906608582 1224 37860.293480507 37860.293480507 97645824 97645824 18588.4473406099 18588.4473406099 47941632 47941632 588.026284654865 788410.871644128 10836.5957600666 777574.275884061 34024 45819829 625717 45194112 0 0 0 0 2582.0800139904 1735407245.49255 260978
