# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
119296 116.5 0.000205633854918051
119808 117 0.000204378223857551
120320 117.5 0.000203153411610457
120832 118 0.000201959434065141
121344 118.5 0.00020079591042422
121856 119 0.000199662299537618
122368 119.5 0.000198558212048432
122880 120 0.000197483378245006
123392 120.5 0.000196437326800716
123904 121 0.000195419243068123
124416 121.5 0.000194428241226143
124928 122 0.000193463702003427
125440 122.5 0.000192525219826381
125952 123 0.000191612252766358
126464 123.5 0.000190723994621162
126976 124 0.000189859654705593
127488 124.5 0.000189018730723297
128000 125 0.000188200907011339
128512 125.5 0.000187405811661512
129024 126 0.000186633055568544
129536 126.5 0.000185882492514022
130048 127 0.000185154242933041
130560 127.5 0.000184448419455137
131072 128 0.000183764992269561
131584 128.5 0.000183113246870402
132096 129 0.000182505558315485
132608 129.5 0.000181943252450692
133120 130 0.000181426820117682
133632 130.5 0.000180956678473021
134144 131 0.00018053358496476
134656 131.5 0.000180158262107012
135168 132 0.000179831108035321
135680 132.5 0.000179552075499553
136192 133 0.000179320720517371
136704 133.5 0.00017913624945037
137216 134 0.0001789974457291
137728 134.5 0.000178902551489605
138240 135 0.000178849261643409
138752 135.5 0.000178834919585249
139264 136 0.000178856830742378
139776 136.5 0.000178912434564372
140288 137 0.000178999160385192
140800 137.5 0.00017911419953803
141312 138 0.000179254605398676
141824 138.5 0.000179417715770248
142336 139 0.000179601418965859
142848 139.5 0.000179803988886241
143360 140 0.000180023813727903
143872 140.5 0.000180259431604831
144384 141 0.00018050976331801
144896 141.5 0.000180774177042729
