# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
28160 27.5 9030.94401895185 9533.65930666208 12.9064390659332 10.9623091220856 8.41505527496338 0 4.49211072921753 165 130206.143988799 130206.143988799 1427360 1427360 21834.8157613769 21834.8157613769 239360 239360 1029.08150697181 373920.61737778 20817.8602300673 353102.757147713 4626 1679629 93709 1585920 0 0 0 0 12.6423292160034 1731334535.43349 35411
28672 28 9042.64569809103 9525.54602652244 13.0913100242615 11.1471800804138 8.53932690620422 0 4.62561178207397 168 130374.856198255 130374.856198255 1453312 1453312 21863.1078211623 21863.1078211623 243712 243712 1038.22880652884 377283.03367104 20866.9490937258 356416.084577314 4808 1787475 95187 1692288 0 0 0 0 12.8224768638611 1731334535.61836 36050
29184 28.5 9047.8374965327 9516.90634500049 13.2838561534882 11.3397262096405 8.65460515022278 0 4.62997508049011 171 130449.710394454 130449.710394454 1479264 1479264 21875.6604360613 21875.6604360613 248064 248064 1043.36532985423 386393.176507016 20829.0714700899 365564.105036926 4834 1788918 96630 1692288 0 0 0 0 13.0105340480804 1731334535.8109 36689
29696 29 9056.36652034392 9509.34275950535 13.4719319343567 11.527801990509 8.8100757598877 0 4.69443607330322 174 130572.679964425 130572.679964425 1505216 1505216 21896.2817202982 21896.2817202982 252416 252416 1049.36742295728 384627.052593324 21001.9349237329 363625.117669592 4932 1797308 98108 1699200 0 0 0 0 13.1918389797211 1731334535.99898 37328
30208 29.5 9061.25554454711 9501.60640190383 13.6643600463867 11.7202301025391 8.96514129638672 0 4.69994449615479 177 130643.168828937 130643.168828937 1531168 1531168 21908.1022943717 21908.1022943717 256768 256768 1054.21778886118 382731.70407315 21139.6841230258 361592.019950125 4958 1798747 99547 1699200 0 0 0 0 13.3797521591187 1731334536.19141 37967
30720 30 9073.74461140738 9495.09522483181 13.8466029167175 11.9024729728699 9.08773279190063 0 4.82234358787537 180 130823.23341958 130823.23341958 1557120 1557120 21938.2980826916 21938.2980826916 261120 261120 1062.85733111799 385912.19172443 21186.9618954729 364725.229828957 5140 1906593 101025 1805568 0 0 0 0 13.555522441864 1731334536.37365 38606
31232 30.5 9087.62102228632 9488.62311166253 14.0264999866486 12.0823700428009 9.20060133934021 0 4.8266167640686 183 131023.300427986 131023.300427986 1583072 1583072 21971.84816055 21971.84816055 265472 265472 1069.64534012315 395331.344363001 21190.0430310604 374141.301331941 5166 1908038 102470 1805568 0 0 0 0 13.732385635376 1731334536.55355 39245
31744 31 9108.3994280333 9483.25608768704 14.1965570449829 12.2524271011353 9.34216904640198 0 4.88507795333862 186 131322.878864622 131322.878864622 1609024 1609024 22022.0857282227 22022.0857282227 269824 269824 1076.13977323756 393910.622834225 21371.7980578248 372538.8247764 5264 1916428 103948 1812480 0 0 0 0 13.8975851535797 1731334536.7236 39884
32256 31.5 9143.74472232162 9478.84524128127 14.3460509777069 12.4019210338593 9.45735692977905 0 4.88939929008484 189 131832.479463161 131832.479463161 1634976 1634976 22107.542795302 22107.542795302 274176 274176 1081.27036549578 392264.474151911 21515.1529158554 370749.321236056 5290 1917868 105388 1812480 0 0 0 0 14.0425691604614 1731334536.8731 40523
32768 32 9148.44132377229 9473.92184209963 14.5364389419556 12.5923089981079 9.58862805366516 0 5.02912855148315 192 131900.194019188 131900.194019188 1660928 1660928 22118.8981339205 22118.8981339205 278528 278528 1089.3706573863 395250.757183996 21558.2208795486 373692.536304447 5472 2025715 106867 1918848 0 0 0 0 14.218813419342 1731334537.06348 41162
33280 32.5 9131.52261194221 9467.56209164495 14.7568891048431 12.8127591609955 9.72410845756531 0 5.03349447250366 195 131656.263791736 131656.263791736 1686880 1686880 22077.9924484292 22077.9924484292 282880 282880 1091.64304686548 402749.720692944 21479.7758091189 381269.944883825 5498 2027158 108310 1918848 0 0 0 0 14.4443011283875 1731334537.28394 41801
33792 33 9160.65555868275 9463.74680802146 14.9126341342926 12.9685041904449 9.8518545627594 0 5.08597755432129 198 132076.296143853 132076.296143853 1712832 1712832 22148.4294396596 22148.4294396596 287232 287232 1097.85457387878 401384.405561967 21654.7665139264 379729.63904804 5596 2035550 109790 1925760 0 0 0 0 14.5953261852264 1731334537.43968 42440
34304 33.5 9190.49482964892 9460.24341036535 15.0663831233978 13.1222531795502 9.9758472442627 0 5.0912938117981 201 132506.512121694 132506.512121694 1738784 1738784 22220.5741659067 22220.5741659067 291584 291584 1103.6166198193 400112.296300335 21810.2774709964 378302.018829338 5622 2036995 111235 1925760 0 0 0 0 14.744781255722 1731334537.59343 43079
