# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
146432 171.6 -0.241444263501364 -0.241444263501363 -0.241444263501363
146944 172.2 -0.241386295052385 -0.241386295052384 -0.241386295052384
147456 172.8 -0.24133422240455 -0.24133422240455 -0.241334222404552
147968 173.4 -0.241291796410729 -0.241291796410729 -0.241291796410731
148480 174 -0.241261102849695 -0.241261102849693 -0.241261102849694
148992 174.6 -0.241251261108769 -0.241251261108766 -0.241251261108769
149504 175.2 -0.241254560349976 -0.241254560349975 -0.241254560349977
150016 175.8 -0.241253553050257 -0.241253553050257 -0.241253553050258
150528 176.4 -0.241230746043062 -0.24123074604306 -0.241230746043061
151040 177 -0.241293075343695 -0.241293075343695 -0.241293075343695
151552 177.6 -0.241503241817111 -0.241503241817112 -0.241503241817113
152064 178.2 -0.241801825792639 -0.241801825792639 -0.241801825792642
152576 178.8 -0.242149402437741 -0.242149402437739 -0.242149402437742
153088 179.4 -0.242520572605169 -0.242520572605167 -0.242520572605168
153600 180 -0.242972968804095 -0.242972968804092 -0.242972968804094
154112 180.6 -0.243527121621144 -0.243527121621141 -0.243527121621145
154624 181.2 -0.24385801359714 -0.243858013597139 -0.243858013597141
155136 181.8 -0.244039316130811 -0.244039316130812 -0.244039316130811
155648 182.4 -0.244005543925232 -0.244005543925232 -0.244005543925231
156160 183 -0.24364872489115 -0.243648724891147 -0.243648724891149
156672 183.6 -0.243003231751535 -0.243003231751531 -0.243003231751535
157184 184.2 -0.242163556415513 -0.242163556415508 -0.242163556415513
157696 184.8 -0.241230784354883 -0.24123078435488 -0.241230784354882
158208 185.4 -0.240247183990902 -0.240247183990901 -0.240247183990902
158720 186 -0.239197505300287 -0.239197505300288 -0.239197505300288
159232 186.6 -0.238096290762084 -0.238096290762083 -0.238096290762084
159744 187.2 -0.237142460198079 -0.237142460198078 -0.237142460198079
160256 187.8 -0.236374878676365 -0.236374878676363 -0.236374878676365
160768 188.4 -0.235754925494206 -0.235754925494204 -0.235754925494206
161280 189 -0.235443455890893 -0.235443455890892 -0.235443455890893
161792 189.6 -0.235596660380127 -0.235596660380126 -0.235596660380126
162304 190.2 -0.236214787542339 -0.236214787542336 -0.236214787542338
162816 190.8 -0.237550571292174 -0.237550571292173 -0.237550571292174
163328 191.4 -0.239360378706081 -0.239360378706081 -0.23936037870608
163840 192 -0.24113229433131 -0.24113229433131 -0.24113229433131
164352 192.6 -0.242625371223572 -0.24262537122357 -0.242625371223572
164864 193.2 -0.244140940783365 -0.244140940783363 -0.244140940783365
165376 193.8 -0.245830890584267 -0.245830890584266 -0.245830890584268
165888 194.4 -0.247487933509568 -0.247487933509565 -0.247487933509566
166400 195 -0.248974564046521 -0.248974564046518 -0.248974564046518
166912 195.6 -0.250188286976331 -0.250188286976331 -0.250188286976329
167424 196.2 -0.25103847752362 -0.251038477523621 -0.251038477523619
167936 196.8 -0.25153717982732 -0.251537179827321 -0.251537179827319
168448 197.4 -0.251704258298565 -0.251704258298565 -0.251704258298565
168960 198 -0.251566468636739 -0.251566468636737 -0.251566468636739
169472 198.6 -0.251238788076624 -0.251238788076622 -0.251238788076623
169984 199.2 -0.250813616243393 -0.250813616243392 -0.250813616243392
170496 199.8 -0.250348258701903 -0.250348258701904 -0.250348258701903
171008 200.4 -0.249882401610639 -0.249882401610638 -0.249882401610639
171520 201 -0.249439269427807 -0.249439269427804 -0.249439269427806
172032 201.6 -0.249033165217209 -0.249033165217208 -0.249033165217208
172544 202.2 -0.248681590560638 -0.248681590560639 -0.248681590560638
173056 202.8 -0.248377499870153 -0.248377499870152 -0.248377499870152
173568 203.4 -0.248100846852291 -0.248100846852287 -0.248100846852289
174080 204 -0.247805148166356 -0.247805148166354 -0.247805148166356
174592 204.6 -0.247510676697014 -0.247510676697014 -0.247510676697014
175104 205.2 -0.247276036303844 -0.247276036303843 -0.247276036303841
175616 205.8 -0.247258083747218 -0.247258083747216 -0.247258083747214
176128 206.4 -0.247379084185755 -0.247379084185752 -0.247379084185753
176640 207 -0.247571006961326 -0.247571006961323 -0.247571006961326
177152 207.6 -0.247803499987594 -0.247803499987592 -0.247803499987595
177664 208.2 -0.24805710367452 -0.248057103674519 -0.248057103674521
178176 208.8 -0.248354277983794 -0.248354277983791 -0.248354277983792
178688 209.4 -0.248671039922569 -0.248671039922565 -0.248671039922566
179200 210 -0.248921547758049 -0.248921547758046 -0.248921547758047
179712 210.6 -0.248970040726476 -0.248970040726476 -0.248970040726477
180224 211.2 -0.248813470053724 -0.248813470053723 -0.248813470053725
180736 211.8 -0.248457791404745 -0.248457791404743 -0.248457791404744
181248 212.4 -0.247816591159553 -0.24781659115955 -0.247816591159552
181760 213 -0.24677262343882 -0.246772623438817 -0.246772623438821
182272 213.6 -0.245350640837316 -0.245350640837313 -0.245350640837315
182784 214.2 -0.24360008034592 -0.243600080345919 -0.243600080345919
183296 214.8 -0.241713620539076 -0.241713620539076 -0.241713620539076
183808 215.4 -0.239836859344317 -0.239836859344315 -0.239836859344317
184320 216 -0.238065863535105 -0.238065863535102 -0.238065863535105
184832 216.6 -0.236606366208723 -0.236606366208719 -0.236606366208722
185344 217.2 -0.235418919932327 -0.235418919932323 -0.235418919932327
185856 217.8 -0.234454790765948 -0.234454790765946 -0.234454790765947
